Task ID,Title,Area,Status,Priority,Owner,Depends On,Definition of Done,Docs Required,Repo Path
ADR-006,Decide database ORM or query layer,Architecture,Done,High,,,ADR accepted and linked from DB tasks,ADR + task doc,/docs/adr
ADR-007,Decide auth token and session strategy,Architecture,Done,High,,,ADR accepted and linked from auth tasks,ADR + task doc,/docs/adr
ADR-008,Decide snapshot storage format,Architecture,Done,Medium,,ADR-004,ADR accepted and linked from versioning and collab tasks,ADR + task doc,/docs/adr
WEB-001,Turn apps/web into a real Next.js app,Web,Done,High,,ADR-003,apps/web boots as a real Next.js app,task doc + change note,/apps/web
WEB-002,Add base layout and route structure,Web,Done,High,,WEB-001,Core app routes and layout are present,none,/apps/web
WEB-003,Add shared design tokens and CSS foundation,Web,Done,Medium,,WEB-001,Design tokens and global styles are committed,change note,/apps/web
WEB-004,Add auth shell states,Web,Done,Medium,,AUTH-004,Signed in signed out and loading shells exist,none,/apps/web
WEB-005,Add document list page scaffold,Web,Done,High,,WEB-002,Document list route renders with placeholder data,none,/apps/web
WEB-006,Add new document button flow stub,Web,Done,High,,"WEB-005,DOCSVC-001",Create button calls stubbed or real flow,none,/apps/web
WEB-007,Add document editor route scaffold,Web,Done,High,,WEB-002,Editor page route exists with shell components,none,/apps/web
WEB-008,Add editor toolbar shell,Web,Done,Medium,,WEB-007,Toolbar component renders with placeholders,none,/apps/web
WEB-009,Add collaborator presence UI shell,Web,Done,Medium,,WEB-007,Presence UI renders placeholder collaborators,none,/apps/web
WEB-010,Add version history panel shell,Web,Done,Medium,,WEB-007,Version history panel placeholder exists,none,/apps/web
WEB-011,Add sharing modal shell,Web,Done,Medium,,WEB-007,Sharing modal placeholder exists,none,/apps/web
WEB-012,Add AI action menu shell,Web,Done,Medium,,WEB-007,AI action menu placeholder exists,none,/apps/web
WEB-013,Add export modal shell,Web,Done,Medium,,WEB-007,Export modal placeholder exists,none,/apps/web
WEB-014,Add offline status banner component,Web,Done,Medium,,WEB-007,Offline banner component exists,none,/apps/web
WEB-015,Add empty error and loading states for document screen,Web,Done,Medium,,WEB-007,Document screen has basic state variants,none,/apps/web
EDIT-001,Install TipTap and ProseMirror dependencies,Editor,Backlog,High,,"WEB-001,ADR-004",Editor dependencies are added and install succeeds,change note,"/apps/web,/packages/editor-schema"
EDIT-002,Create base editor component,Editor,Backlog,High,,EDIT-001,Base editor renders and mounts,task doc,/apps/web/src/editor
EDIT-003,Define minimal editor schema package contents,Editor,Backlog,High,,EDIT-001,Shared schema package exposes minimal editor nodes,change note,/packages/editor-schema
EDIT-004,Add paragraph text and heading support,Editor,Backlog,Medium,,"EDIT-002,EDIT-003",Editor supports minimal block types,none,/apps/web/src/editor
EDIT-005,Add local editor state persistence stub,Editor,Backlog,Medium,,EDIT-002,Local persistence stub exists,none,/apps/web/src/editor
EDIT-006,Add editor selection state helpers,Editor,Backlog,Medium,,EDIT-002,Selection helpers exist and are tested if needed,none,/apps/web/src/editor
EDIT-007,Add document title editing UI,Editor,Backlog,Medium,,WEB-007,Title field can be edited in UI shell,none,/apps/web
EDIT-008,Add undo and redo hooks,Editor,Backlog,Medium,,EDIT-002,Undo redo hooks exist,none,/apps/web/src/editor
EDIT-009,Add read-only editor mode,Editor,Backlog,High,,"EDIT-002,SHARE-005",Editor supports read-only rendering,none,/apps/web/src/editor
EDIT-010,Add basic editor tests,Editor,Backlog,Medium,,"TEST-001,EDIT-002",Editor tests run in CI,none,/apps/web/tests
PKG-001,Expand shared-types for document DTOs,Packages,Done,High,,ADR-002,Document DTOs exist for API contracts,change note,/packages/shared-types
PKG-002,Expand shared-types for session DTOs,Packages,Done,High,,ADR-004,Session DTOs exist for collab and API,change note,/packages/shared-types
PKG-003,Expand shared-types for AI DTOs,Packages,Done,High,,AI-001,AI DTOs exist for requests and proposals,change note,/packages/shared-types
PKG-004,Expand shared-types for version and export DTOs,Packages,Done,High,,"VER-001,EXP-001",Version and export DTOs exist,change note,/packages/shared-types
PKG-005,Add permission enums and constants to authz,Packages,Done,High,,,Permission enums and constants are centralized,change note,/packages/authz
PKG-006,Add canView canEdit and canShare helpers,Packages,Done,High,,PKG-005,Authz helper functions are exported,none,/packages/authz
PKG-007,Add prompt template version model,Packages,Done,Medium,,AI-002,Prompt templates include explicit version model,change note,/packages/prompt-templates
PKG-008,Add test fixtures for sample documents,Packages,Done,Medium,,TEST-006,Fixture documents are reusable across tests,none,/packages/test-fixtures
PKG-009,Add reusable UI primitives package structure,Packages,Done,Medium,,WEB-001,UI package has base structure for shared components,none,/packages/ui
PKG-010,Make package build and typecheck scripts work,Packages,Done,High,,FOUND-008,All package scripts run without placeholder failures,none,/packages
API-001,Initialize real API framework in apps/api,API,Done,High,,ADR-002,apps/api boots with chosen framework,task doc + change note,/apps/api
API-002,Add health check endpoint,API,Done,Medium,,API-001,Health endpoint returns success payload,none,/apps/api
API-003,Add config loader and env validation,API,Done,High,,API-001,Env values are parsed and validated on startup,change note,/apps/api/src/config
API-004,Add request logging middleware,API,Done,Medium,,"API-001,OPS-001",Requests are logged through shared logger abstraction,none,/apps/api
API-005,Add standard error response shape,API,Done,High,,API-001,Errors return documented consistent shape,api doc,/apps/api
API-006,Add auth module skeleton,API,Done,High,,API-001,Auth module is registered and compiles,none,/apps/api/src/modules/auth
API-007,Add documents module skeleton,API,Done,High,,API-001,Documents module is registered and compiles,none,/apps/api/src/modules/documents
API-008,Add sharing module skeleton,API,Done,High,,API-001,Sharing module is registered and compiles,none,/apps/api/src/modules/sharing
API-009,Add versions module skeleton,API,Done,Medium,,API-001,Versions module is registered and compiles,none,/apps/api/src/modules/versions
API-010,Add AI module skeleton,API,Done,Medium,,API-001,AI module is registered and compiles,none,/apps/api/src/modules/ai
API-011,Add exports module skeleton,API,Done,Medium,,API-001,Exports module is registered and compiles,none,/apps/api/src/modules/exports
API-012,Add comments module skeleton,API,Done,Low,,API-001,Comments module is registered and compiles,none,/apps/api/src/modules/comments
API-013,Add audit module skeleton,API,Done,Medium,,API-001,Audit module is registered and compiles,none,/apps/api/src/modules/audit
AUTH-001,Add Google auth config fields,Auth,Done,High,,API-003,Required Google auth env vars are defined,api doc,/apps/api/src/config
AUTH-002,Implement Google token validation service stub,Auth,Done,High,,"AUTH-001,API-006",Validation service exists behind an abstraction,spec + change note,/apps/api/src/modules/auth
AUTH-003,Add user profile model,Auth,Done,High,,DB-002,User profile model exists and is wired into auth flow,none,"/apps/api,/packages/shared-types"
AUTH-004,Add auth callback endpoint,Auth,Done,High,,AUTH-002,Callback endpoint accepts token and returns session payload,api doc,/apps/api/src/modules/auth
AUTH-005,Add session issuance logic,Auth,Done,High,,"ADR-007,AUTH-002",Session issuance flow works with chosen token strategy,ADR or spec,/apps/api/src/modules/auth
AUTH-006,Add auth guard middleware,Auth,Done,High,,AUTH-005,Protected endpoints require auth successfully,none,/apps/api
AUTH-007,Add current-user endpoint,Auth,Done,Medium,,AUTH-006,Current user endpoint returns normalized profile,api doc,/apps/api/src/modules/auth
AUTH-008,Add auth integration tests,Auth,Backlog,Medium,,"TEST-003,AUTH-004",Auth integration tests run in CI,none,/apps/api/tests/integration
DB-001,Choose ORM and add initial config,Database,Done,High,,ADR-006,ORM is chosen and initial config compiles,ADR + task doc,"/apps/api,/docs/adr"
DB-002,Create users table or model,Database,Done,High,,DB-001,Users schema exists and migrates,change note,/apps/api
DB-003,Create documents table or model,Database,Done,High,,DB-001,Documents schema exists and migrates,change note,/apps/api
DB-004,Create memberships table or model,Database,Done,High,,DB-001,Memberships schema exists and migrates,change note,/apps/api
DB-005,Create invitations table or model,Database,Backlog,Medium,,DB-001,Invitations schema exists and migrates,none,/apps/api
DB-006,Create revisions table or model,Database,Backlog,High,,DB-001,Revisions schema exists and migrates,none,/apps/api
DB-007,Create AI requests table or model,Database,Done,High,,DB-001,AI requests schema exists and migrates,none,/apps/api
DB-008,Create export jobs table or model,Database,Done,Medium,,DB-001,Export jobs schema exists and migrates,none,/apps/api
DB-009,Create audit events table or model,Database,Done,Medium,,DB-001,Audit events schema exists and migrates,none,/apps/api
DB-010,Add local migration workflow,Database,Done,High,,DB-001,Local migration commands are documented and usable,change note,"/apps/api,/infrastructure"
DB-011,Add seed script with demo data,Database,Done,Medium,,"DB-002,DB-003,DB-004",Seed script populates demo users docs and memberships,none,/apps/api
DOCSVC-001,Implement create document endpoint,Document Service,Done,High,,"API-007,DB-003,DB-004",Create document endpoint works and persists owner membership,api doc + change note,/apps/api/src/modules/documents
DOCSVC-002,Implement list documents endpoint,Document Service,Done,High,,DOCSVC-001,List documents endpoint returns authorized documents,api doc,/apps/api/src/modules/documents
DOCSVC-003,Implement get document metadata endpoint,Document Service,Done,High,,DOCSVC-001,Metadata endpoint returns document and permission summary,api doc,/apps/api/src/modules/documents
DOCSVC-004,Implement rename document endpoint,Document Service,Done,Medium,,DOCSVC-003,Rename endpoint updates title with auth checks,api doc,/apps/api/src/modules/documents
DOCSVC-005,Implement archive or delete document endpoint,Document Service,Done,Medium,,DOCSVC-003,Archive or delete endpoint enforces owner role,api doc,/apps/api/src/modules/documents
DOCSVC-006,Add owner membership on create,Document Service,Done,High,,DOCSVC-001,Owner membership is created transactionally,none,/apps/api/src/modules/documents
DOCSVC-007,Add CRUD integration tests,Document Service,Done,Medium,,"TEST-003,DOCSVC-005",CRUD tests cover core document flows,none,/apps/api/tests/integration
SHARE-001,Implement invite creation endpoint,Sharing,Done,High,,"API-008,DB-005",Invite endpoint creates signed invitation,api doc,/apps/api/src/modules/sharing
SHARE-002,Implement invitation accept endpoint,Sharing,Done,High,,SHARE-001,Accept endpoint creates or updates membership,api doc,/apps/api/src/modules/sharing
SHARE-003,Implement role update endpoint,Sharing,Done,High,,"SHARE-001,PKG-006",Role update endpoint enforces owner-only changes,api doc,/apps/api/src/modules/sharing
SHARE-004,Implement revoke access endpoint,Sharing,Done,High,,SHARE-003,Revoke endpoint removes or disables access,api doc,/apps/api/src/modules/sharing
SHARE-005,Add permission matrix enforcement helpers,Sharing,Done,High,,PKG-006,Permission helpers are used consistently by API modules,spec + change note,"/apps/api,/packages/authz"
SHARE-006,Add API tests for role restrictions,Sharing,Done,Medium,,"TEST-003,SHARE-005",Role restriction tests cover view edit share boundaries,none,/apps/api/tests/integration
SHARE-007,Add audit log entries for sharing changes,Sharing,Done,Medium,,"API-013,SHARE-003",Sharing changes emit audit records,none,/apps/api/src/modules/sharing
COLLAB-001,Initialize real collaboration server,Collaboration,Done,High,,ADR-004,apps/collab boots with chosen stack,task doc + change note,/apps/collab
COLLAB-002,Add session token verification,Collaboration,Done,High,,"COLLAB-001,AUTH-005",Collab server verifies session token before join,none,/apps/collab
COLLAB-003,Add document join flow,Collaboration,Done,High,,"COLLAB-002,PKG-002",Document join flow is implemented and documented,spec + api doc,/apps/collab
COLLAB-004,Add presence awareness channel,Collaboration,Done,High,,COLLAB-003,Presence awareness events broadcast correctly,none,/apps/collab/src/awareness
COLLAB-005,Add heartbeat timeout cleanup,Collaboration,Done,Medium,,COLLAB-004,Stale sessions are cleaned up on timeout,none,/apps/collab/src/awareness
COLLAB-006,Add writer-slot allocation logic,Collaboration,Backlog,High,,COLLAB-003,Writer slots are allocated deterministically,none,/apps/collab/src/writer-slots
COLLAB-007,Add writer-slot queue logic,Collaboration,Backlog,Medium,,COLLAB-006,Queued editors are promoted correctly,none,/apps/collab/src/writer-slots
COLLAB-008,Add permission update push event,Collaboration,Backlog,High,,"SHARE-003,COLLAB-003",Permission updates propagate to active sessions,spec + api doc,/apps/collab/src/permissions
COLLAB-009,Add disconnect and reconnect handling,Collaboration,Done,High,,COLLAB-003,Reconnect flow restores session state safely,spec,/apps/collab/src/sessions
COLLAB-010,Add collaboration service tests,Collaboration,Done,Medium,,"TEST-004,COLLAB-009",Core collaboration flows are covered by tests,none,/apps/collab/tests
SYNC-001,Add IndexedDB persistence for local edits,Sync,Backlog,High,,"EDIT-002,COLLAB-003",Offline local edits persist in browser storage,spec,/apps/web/src/editor
SYNC-002,Add reconnect banner UX,Sync,Backlog,Medium,,WEB-014,Reconnect status is visible in the UI,none,/apps/web
SYNC-003,Add state-vector reconnect flow,Sync,Backlog,High,,"SYNC-001,COLLAB-009",Client and server merge state on reconnect,spec,"/apps/web,/apps/collab"
SYNC-004,Add unsynced local recovery buffer,Sync,Backlog,High,,SYNC-003,Unsynced local edits are preserved for recovery,spec,/apps/web/src/editor
SYNC-005,Add permission-changed-while-offline handling,Sync,Backlog,High,,"SYNC-004,SHARE-005",Offline edits are handled safely after permission downgrade,spec,"/apps/web,/apps/collab"
SYNC-006,Add reconnect integration test,Sync,Backlog,Medium,,"TEST-004,SYNC-003",Reconnect scenario is covered by integration tests,none,/apps/collab/tests
VER-001,Add revision creation policy service,Versioning,Done,High,,"DB-006,ADR-008",Revision service creates checkpoints by policy,spec + change note,/apps/api/src/modules/versions
VER-002,Add revision list endpoint,Versioning,Done,High,,VER-001,Revision list endpoint returns revision metadata,api doc,/apps/api/src/modules/versions
VER-003,Add revision detail endpoint,Versioning,Done,Medium,,VER-002,Revision detail endpoint returns requested revision,api doc,/apps/api/src/modules/versions
VER-004,Add diff endpoint stub,Versioning,Done,Medium,,VER-002,Diff endpoint returns stub or initial comparison payload,api doc,/apps/api/src/modules/versions
VER-005,Add rollback endpoint,Versioning,Done,High,,VER-002,Rollback endpoint creates a new head revision,api doc + change note,/apps/api/src/modules/versions
VER-006,Add rollback event to collab service,Versioning,Done,High,,"VER-005,COLLAB-003",Rollback propagates to active clients,spec,/apps/collab
VER-007,Add version history UI data hook,Versioning,Done,Medium,,"WEB-010,VER-002",UI can fetch and display revision list data,none,/apps/web
VER-008,Add versioning tests,Versioning,Done,Medium,,"TEST-003,VER-005",Versioning tests cover revision and rollback flow,none,/apps/api/tests/integration
AI-001,Add AI request model,AI,Done,High,,DB-007,AI request model exists and migrates,none,/apps/api/src/modules/ai
AI-002,Add AI request submission endpoint,AI,Done,High,,"API-010,AI-001",AI request endpoint validates payload and persists request,api doc + spec,/apps/api/src/modules/ai
AI-003,Add allowed action enum validation,AI,Done,Medium,,AI-002,AI actions are strictly validated,none,/apps/api/src/modules/ai
AI-004,Add context-scope validation,AI,Done,Medium,,AI-002,Context scope values are validated,none,/apps/api/src/modules/ai
AI-005,Add optional masking flag handling,AI,Done,Medium,,AI-002,Masking option is stored and passed through correctly,spec,/apps/api/src/modules/ai
AI-006,Add proposal result model,AI,Done,High,,AI-001,Proposal result model exists for worker and API use,none,"/apps/api/src/modules/ai,/packages/shared-types"
AI-007,Add stale proposal detection helper,AI,Backlog,High,,AI-006,Staleness helper compares revision and text hash correctly,spec + change note,/apps/api/src/modules/ai
AI-008,Add proposal accept endpoint,AI,Done,Medium,,AI-007,Accept endpoint applies AI proposal through normal change flow,api doc,/apps/api/src/modules/ai
AI-009,Add proposal reject endpoint,AI,Done,Medium,,AI-006,Reject endpoint updates request outcome cleanly,api doc,/apps/api/src/modules/ai
AI-010,Add AI request status endpoint,AI,Done,Medium,,AI-002,Status endpoint exposes lifecycle state,api doc,/apps/api/src/modules/ai
AI-011,Add AI panel UI state model,AI,Done,Medium,,"WEB-012,AI-010",AI UI can represent request and proposal states,none,/apps/web
AI-012,Add mock provider client,AI,Done,High,,"ADR-005,AI-002",Mock provider supports local testing without real provider calls,none,"/apps/worker,/apps/api"
AI-013,Add AI integration tests with fixtures,AI,Backlog,Medium,,"TEST-003,AI-012",AI integration tests run with mock provider and fixtures,none,/apps/api/tests/integration
WORK-001,Initialize worker runtime,Worker,Done,High,,ADR-005,apps/worker boots with chosen runtime,task doc + change note,/apps/worker
WORK-002,Add queue connection config,Worker,Done,High,,WORK-001,Worker connects to configured queue backend,none,/apps/worker
WORK-003,Add AI job processor stub,Worker,Done,High,,"WORK-002,AI-002",AI job processor consumes requests and writes status updates,none,/apps/worker/src/ai-jobs
WORK-004,Add export job processor stub,Worker,Done,Medium,,"WORK-002,EXP-001",Export job processor stub exists,none,/apps/worker/src/export-jobs
WORK-005,Add revision summary job stub,Worker,Done,Medium,,"WORK-002,VER-001",Revision summary job stub exists,none,/apps/worker/src/revision-jobs
WORK-006,Add retry and backoff defaults,Worker,Done,Medium,,WORK-002,Retry and backoff defaults are centralized,none,/apps/worker
WORK-007,Add worker tests,Worker,Done,Medium,,"TEST-001,WORK-003",Worker tests run in CI,none,/apps/worker/tests
EXP-001,Add export job request endpoint,Export,Done,High,,"API-011,DB-008",Export request endpoint creates export job records,api doc,/apps/api/src/modules/exports
EXP-002,Add export job status endpoint,Export,Done,Medium,,EXP-001,Export status endpoint exposes job state,api doc,/apps/api/src/modules/exports
EXP-003,Add plain-text renderer,Export,Done,High,,EXP-001,Plain-text export works end to end,none,/apps/worker/src/export-jobs
EXP-004,Add PDF renderer stub,Export,Done,Medium,,EXP-001,PDF export stub exists behind job interface,none,/apps/worker/src/export-jobs
EXP-005,Add DOCX renderer stub,Export,Done,Medium,,EXP-001,DOCX export stub exists behind job interface,none,/apps/worker/src/export-jobs
EXP-006,Add secure download URL flow,Export,Done,Medium,,EXP-002,Completed exports return secure download references,spec,"/apps/api,/apps/worker"
EXP-007,Add export UI integration,Export,Backlog,Medium,,"WEB-013,EXP-002",UI can request export and show status,none,/apps/web
INFRA-001,Add Docker Compose for Postgres and Redis,Infrastructure,Done,High,,DB-001,Compose file starts required local services,change note,/infrastructure/docker
INFRA-002,Add local object storage service to Compose,Infrastructure,Done,Medium,,INFRA-001,Compose includes local object storage,none,/infrastructure/docker
INFRA-003,Add API service container,Infrastructure,Done,Medium,,API-001,Docker setup can run API service,none,/infrastructure/docker
INFRA-004,Add collab service container,Infrastructure,Done,Medium,,COLLAB-001,Docker setup can run collab service,none,/infrastructure/docker
INFRA-005,Add worker service container,Infrastructure,Done,Medium,,WORK-001,Docker setup can run worker service,none,/infrastructure/docker
INFRA-006,Add startup helper scripts,Infrastructure,Done,Medium,,INFRA-001,Helper scripts exist for common local startup flows,none,/infrastructure/scripts
INFRA-007,Add local bootstrap README,Infrastructure,Done,Medium,,INFRA-001,Infrastructure README explains local setup,change note,/infrastructure
TEST-001,Decide and set up Vitest or Jest,Testing,Done,High,,"ADR-002,ADR-003",Chosen test framework is configured and runs,task doc + change note,/
TEST-002,Add shared test config,Testing,Done,High,,TEST-001,Shared test config is reused by apps and packages,none,/
TEST-003,Add API integration test harness,Testing,Done,High,,"TEST-001,API-001,DB-001",API integration tests can run against local test DB,none,/apps/api/tests
TEST-004,Add collaboration test harness,Testing,Done,High,,"TEST-001,COLLAB-001",Collab tests can run service-level scenarios,none,/apps/collab/tests
TEST-005,Add web E2E framework setup,Testing,Backlog,Medium,,"TEST-001,WEB-001",Web E2E tests are configured,none,/apps/web/tests
TEST-006,Add fixture factories,Testing,Done,Medium,,TEST-001,Fixture factories exist for tests and demos,none,/packages/test-fixtures
TEST-007,Refine CI test matrix,Testing,Backlog,Low,,"TEST-003,TEST-004,TEST-005",CI splits or optimizes tests appropriately,change note,/.github/workflows
OPS-001,Add structured logger abstraction,Ops,Backlog,Medium,,API-001,Shared logger abstraction exists and is used by services,change note,"/apps/api,/apps/collab,/apps/worker"
OPS-002,Add request ID propagation,Ops,Backlog,Medium,,OPS-001,Request IDs flow through API request handling,none,/apps/api
OPS-003,Add audit event schema,Ops,Backlog,Medium,,"API-013,DB-009",Audit schema is documented and implemented,spec,"/apps/api,/packages/shared-types"
OPS-004,Add basic metrics list doc,Ops,Done,Low,,TASK-0001,Metrics spec exists for service owners,spec,/docs/specs
OPS-005,Add health and readiness endpoints,Ops,Done,Medium,,"API-002,COLLAB-001,WORK-001",All services expose health or readiness endpoints,api doc,/apps
OPS-006,Add rate-limit config placeholders,Ops,Done,Low,,API-003,Rate-limit config keys exist in env and config parsing,none,/apps/api
