task,description,dept,status,assigned to
WEB-015 - Add empty error and loading states for document screen,Priority: Medium Depends on: WEB-007 Definition of done: Document screen has basic state variants Docs: none Path: /apps/web,Web,Done,
EDIT-001 - Install TipTap and ProseMirror dependencies,"Priority: High Depends on: WEB-001,ADR-004 Definition of done: Editor dependencies are added and install succeeds Docs: change note Path: /apps/web,/packages/editor-schema",Editor,Done,
EDIT-002 - Create base editor component,Priority: High Depends on: EDIT-001 Definition of done: Base editor renders and mounts Docs: task doc Path: /apps/web/src/editor,Editor,Done,
EDIT-003 - Define minimal editor schema package contents,Priority: High Depends on: EDIT-001 Definition of done: Shared schema package exposes minimal editor nodes Docs: change note Path: /packages/editor-schema,Editor,Done,
EDIT-004 - Add paragraph text and heading support,"Priority: Medium Depends on: EDIT-002,EDIT-003 Definition of done: Editor supports minimal block types Docs: none Path: /apps/web/src/editor",Editor,Done,
EDIT-005 - Add local editor state persistence stub,Priority: Medium Depends on: EDIT-002 Definition of done: Local persistence stub exists Docs: none Path: /apps/web/src/editor,Editor,Done,
EDIT-006 - Add editor selection state helpers,Priority: Medium Depends on: EDIT-002 Definition of done: Selection helpers exist and are tested if needed Docs: none Path: /apps/web/src/editor,Editor,Done,
EDIT-007 - Add document title editing UI,Priority: Medium Depends on: WEB-007 Definition of done: Title field can be edited in UI shell Docs: none Path: /apps/web,Editor,Done,
EDIT-008 - Add undo and redo hooks,Priority: Medium Depends on: EDIT-002 Definition of done: Undo redo hooks exist Docs: none Path: /apps/web/src/editor,Editor,Done,
EDIT-009 - Add read-only editor mode,"Priority: High Depends on: EDIT-002,SHARE-005 Definition of done: Editor supports read-only rendering Docs: none Path: /apps/web/src/editor",Editor,Done,
EDIT-010 - Add basic editor tests,"Priority: Medium Depends on: TEST-001,EDIT-002 Definition of done: Editor tests run in CI Docs: none Path: /apps/web/tests",Editor,Done,
PKG-001 - Expand shared-types for document DTOs,Priority: High Depends on: ADR-002 Definition of done: Document DTOs exist for API contracts Docs: change note Path: /packages/shared-types,Packages,Done,
PKG-002 - Expand shared-types for session DTOs,Priority: High Depends on: ADR-004 Definition of done: Session DTOs exist for collab and API Docs: change note Path: /packages/shared-types,Packages,Done,
PKG-003 - Expand shared-types for AI DTOs,Priority: High Depends on: AI-001 Definition of done: AI DTOs exist for requests and proposals Docs: change note Path: /packages/shared-types,Packages,Done,
PKG-004 - Expand shared-types for version and export DTOs,"Priority: High Depends on: VER-001,EXP-001 Definition of done: Version and export DTOs exist Docs: change note Path: /packages/shared-types",Packages,Done,
PKG-005 - Add permission enums and constants to authz,Priority: High Definition of done: Permission enums and constants are centralized Docs: change note Path: /packages/authz,Packages,Done,
PKG-006 - Add canView canEdit and canShare helpers,Priority: High Depends on: PKG-005 Definition of done: Authz helper functions are exported Docs: none Path: /packages/authz,Packages,Done,
PKG-007 - Add prompt template version model,Priority: Medium Depends on: AI-002 Definition of done: Prompt templates include explicit version model Docs: change note Path: /packages/prompt-templates,Packages,Done,
PKG-008 - Add test fixtures for sample documents,Priority: Medium Depends on: TEST-006 Definition of done: Fixture documents are reusable across tests Docs: none Path: /packages/test-fixtures,Packages,Done,
PKG-009 - Add reusable UI primitives package structure,Priority: Medium Depends on: WEB-001 Definition of done: UI package has base structure for shared components Docs: none Path: /packages/ui,Packages,Done,
PKG-010 - Make package build and typecheck scripts work,Priority: High Depends on: FOUND-008 Definition of done: All package scripts run without placeholder failures Docs: none Path: /packages,Packages,Done,
API-001 - Initialize real API framework in apps/api,Priority: High Depends on: ADR-002 Definition of done: apps/api boots with chosen framework Docs: task doc + change note Path: /apps/api,API,Done,
API-002 - Add health check endpoint,Priority: Medium Depends on: API-001 Definition of done: Health endpoint returns success payload Docs: none Path: /apps/api,API,Done,
API-003 - Add config loader and env validation,Priority: High Depends on: API-001 Definition of done: Env values are parsed and validated on startup Docs: change note Path: /apps/api/src/config,API,Done,
API-004 - Add request logging middleware,"Priority: Medium Depends on: API-001,OPS-001 Definition of done: Requests are logged through shared logger abstraction Docs: none Path: /apps/api",API,Done,
API-005 - Add standard error response shape,Priority: High Depends on: API-001 Definition of done: Errors return documented consistent shape Docs: api doc Path: /apps/api,API,Done,
API-006 - Add auth module skeleton,Priority: High Depends on: API-001 Definition of done: Auth module is registered and compiles Docs: none Path: /apps/api/src/modules/auth,API,Done,
API-007 - Add documents module skeleton,Priority: High Depends on: API-001 Definition of done: Documents module is registered and compiles Docs: none Path: /apps/api/src/modules/documents,API,Done,
API-008 - Add sharing module skeleton,Priority: High Depends on: API-001 Definition of done: Sharing module is registered and compiles Docs: none Path: /apps/api/src/modules/sharing,API,Done,
API-009 - Add versions module skeleton,Priority: Medium Depends on: API-001 Definition of done: Versions module is registered and compiles Docs: none Path: /apps/api/src/modules/versions,API,Done,
API-010 - Add AI module skeleton,Priority: Medium Depends on: API-001 Definition of done: AI module is registered and compiles Docs: none Path: /apps/api/src/modules/ai,API,Done,
API-011 - Add exports module skeleton,Priority: Medium Depends on: API-001 Definition of done: Exports module is registered and compiles Docs: none Path: /apps/api/src/modules/exports,API,Done,
API-012 - Add comments module skeleton,Priority: Low Depends on: API-001 Definition of done: Comments module is registered and compiles Docs: none Path: /apps/api/src/modules/comments,API,Done,
API-013 - Add audit module skeleton,Priority: Medium Depends on: API-001 Definition of done: Audit module is registered and compiles Docs: none Path: /apps/api/src/modules/audit,API,Done,
AUTH-001 - Add Google auth config fields,Priority: High Depends on: API-003 Definition of done: Required Google auth env vars are defined Docs: api doc Path: /apps/api/src/config,Auth,Done,
AUTH-002 - Implement Google token validation service stub,"Priority: High Depends on: AUTH-001,API-006 Definition of done: Validation service exists behind an abstraction Docs: spec + change note Path: /apps/api/src/modules/auth",Auth,Done,
AUTH-003 - Add user profile model,"Priority: High Depends on: DB-002 Definition of done: User profile model exists and is wired into auth flow Docs: none Path: /apps/api,/packages/shared-types",Auth,Done,
AUTH-004 - Add auth callback endpoint,Priority: High Depends on: AUTH-002 Definition of done: Callback endpoint accepts token and returns session payload Docs: api doc Path: /apps/api/src/modules/auth,Auth,Done,
AUTH-005 - Add session issuance logic,"Priority: High Depends on: ADR-007,AUTH-002 Definition of done: Session issuance flow works with chosen token strategy Docs: ADR or spec Path: /apps/api/src/modules/auth",Auth,Done,
AUTH-006 - Add auth guard middleware,Priority: High Depends on: AUTH-005 Definition of done: Protected endpoints require auth successfully Docs: none Path: /apps/api,Auth,Done,
AUTH-007 - Add current-user endpoint,Priority: Medium Depends on: AUTH-006 Definition of done: Current user endpoint returns normalized profile Docs: api doc Path: /apps/api/src/modules/auth,Auth,Done,
AUTH-008 - Add auth integration tests,"Priority: Medium Depends on: TEST-003,AUTH-004 Definition of done: Auth integration tests run in CI Docs: none Path: /apps/api/tests/integration",Auth,Done,
DB-001 - Choose ORM and add initial config,"Priority: High Depends on: ADR-006 Definition of done: ORM is chosen and initial config compiles Docs: ADR + task doc Path: /apps/api,/docs/adr",Database,Done,
DB-002 - Create users table or model,Priority: High Depends on: DB-001 Definition of done: Users schema exists and migrates Docs: change note Path: /apps/api,Database,Done,
DB-003 - Create documents table or model,Priority: High Depends on: DB-001 Definition of done: Documents schema exists and migrates Docs: change note Path: /apps/api,Database,Done,
DB-004 - Create memberships table or model,Priority: High Depends on: DB-001 Definition of done: Memberships schema exists and migrates Docs: change note Path: /apps/api,Database,Done,
DB-005 - Create invitations table or model,Priority: Medium Depends on: DB-001 Definition of done: Invitations schema exists and migrates Docs: none Path: /apps/api,Database,Done,
DB-006 - Create revisions table or model,Priority: High Depends on: DB-001 Definition of done: Revisions schema exists and migrates Docs: none Path: /apps/api,Database,Done,
DB-007 - Create AI requests table or model,Priority: High Depends on: DB-001 Definition of done: AI requests schema exists and migrates Docs: none Path: /apps/api,Database,Done,
DB-008 - Create export jobs table or model,Priority: Medium Depends on: DB-001 Definition of done: Export jobs schema exists and migrates Docs: none Path: /apps/api,Database,Done,
DB-009 - Create audit events table or model,Priority: Medium Depends on: DB-001 Definition of done: Audit events schema exists and migrates Docs: none Path: /apps/api,Database,Done,
DB-010 - Add local migration workflow,"Priority: High Depends on: DB-001 Definition of done: Local migration commands are documented and usable Docs: change note Path: /apps/api,/infrastructure",Database,Done,
DB-011 - Add seed script with demo data,"Priority: Medium Depends on: DB-002,DB-003,DB-004 Definition of done: Seed script populates demo users docs and memberships Docs: none Path: /apps/api",Database,Done,
DOCSVC-001 - Implement create document endpoint,"Priority: High Depends on: API-007,DB-003,DB-004 Definition of done: Create document endpoint works and persists owner membership Docs: api doc + change note Path: /apps/api/src/modules/documents",Document Service,Done,
DOCSVC-002 - Implement list documents endpoint,Priority: High Depends on: DOCSVC-001 Definition of done: List documents endpoint returns authorized documents Docs: api doc Path: /apps/api/src/modules/documents,Document Service,Done,
DOCSVC-003 - Implement get document metadata endpoint,Priority: High Depends on: DOCSVC-001 Definition of done: Metadata endpoint returns document and permission summary Docs: api doc Path: /apps/api/src/modules/documents,Document Service,Done,
DOCSVC-004 - Implement rename document endpoint,Priority: Medium Depends on: DOCSVC-003 Definition of done: Rename endpoint updates title with auth checks Docs: api doc Path: /apps/api/src/modules/documents,Document Service,Done,
DOCSVC-005 - Implement archive or delete document endpoint,Priority: Medium Depends on: DOCSVC-003 Definition of done: Archive or delete endpoint enforces owner role Docs: api doc Path: /apps/api/src/modules/documents,Document Service,Done,
DOCSVC-006 - Add owner membership on create,Priority: High Depends on: DOCSVC-001 Definition of done: Owner membership is created transactionally Docs: none Path: /apps/api/src/modules/documents,Document Service,Done,
DOCSVC-007 - Add CRUD integration tests,"Priority: Medium Depends on: TEST-003,DOCSVC-005 Definition of done: CRUD tests cover core document flows Docs: none Path: /apps/api/tests/integration",Document Service,Done,
SHARE-001 - Implement invite creation endpoint,"Priority: High Depends on: API-008,DB-005 Definition of done: Invite endpoint creates signed invitation Docs: api doc Path: /apps/api/src/modules/sharing",Sharing,Done,
SHARE-002 - Implement invitation accept endpoint,Priority: High Depends on: SHARE-001 Definition of done: Accept endpoint creates or updates membership Docs: api doc Path: /apps/api/src/modules/sharing,Sharing,Done,
SHARE-003 - Implement role update endpoint,"Priority: High Depends on: SHARE-001,PKG-006 Definition of done: Role update endpoint enforces owner-only changes Docs: api doc Path: /apps/api/src/modules/sharing",Sharing,Done,
SHARE-004 - Implement revoke access endpoint,Priority: High Depends on: SHARE-003 Definition of done: Revoke endpoint removes or disables access Docs: api doc Path: /apps/api/src/modules/sharing,Sharing,Done,
SHARE-005 - Add permission matrix enforcement helpers,"Priority: High Depends on: PKG-006 Definition of done: Permission helpers are used consistently by API modules Docs: spec + change note Path: /apps/api,/packages/authz",Sharing,Done,
SHARE-006 - Add API tests for role restrictions,"Priority: Medium Depends on: TEST-003,SHARE-005 Definition of done: Role restriction tests cover view edit share boundaries Docs: none Path: /apps/api/tests/integration",Sharing,Done,
SHARE-007 - Add audit log entries for sharing changes,"Priority: Medium Depends on: API-013,SHARE-003 Definition of done: Sharing changes emit audit records Docs: none Path: /apps/api/src/modules/sharing",Sharing,Done,
COLLAB-001 - Initialize real collaboration server,Priority: High Depends on: ADR-004 Definition of done: apps/collab boots with chosen stack Docs: task doc + change note Path: /apps/collab,Collaboration,Done,
COLLAB-002 - Add session token verification,"Priority: High Depends on: COLLAB-001,AUTH-005 Definition of done: Collab server verifies session token before join Docs: none Path: /apps/collab",Collaboration,Done,
COLLAB-003 - Add document join flow,"Priority: High Depends on: COLLAB-002,PKG-002 Definition of done: Document join flow is implemented and documented Docs: spec + api doc Path: /apps/collab",Collaboration,Done,
COLLAB-004 - Add presence awareness channel,Priority: High Depends on: COLLAB-003 Definition of done: Presence awareness events broadcast correctly Docs: none Path: /apps/collab/src/awareness,Collaboration,Done,
COLLAB-005 - Add heartbeat timeout cleanup,Priority: Medium Depends on: COLLAB-004 Definition of done: Stale sessions are cleaned up on timeout Docs: none Path: /apps/collab/src/awareness,Collaboration,Done,
COLLAB-006 - Add writer-slot allocation logic,Priority: High Depends on: COLLAB-003 Definition of done: Writer slots are allocated deterministically Docs: none Path: /apps/collab/src/writer-slots,Collaboration,Done,
COLLAB-007 - Add writer-slot queue logic,Priority: Medium Depends on: COLLAB-006 Definition of done: Queued editors are promoted correctly Docs: none Path: /apps/collab/src/writer-slots,Collaboration,Done,
COLLAB-008 - Add permission update push event,"Priority: High Depends on: SHARE-003,COLLAB-003 Definition of done: Permission updates propagate to active sessions Docs: spec + api doc Path: /apps/collab/src/permissions",Collaboration,Done,
COLLAB-009 - Add disconnect and reconnect handling,Priority: High Depends on: COLLAB-003 Definition of done: Reconnect flow restores session state safely Docs: spec Path: /apps/collab/src/sessions,Collaboration,Done,
COLLAB-010 - Add collaboration service tests,"Priority: Medium Depends on: TEST-004,COLLAB-009 Definition of done: Core collaboration flows are covered by tests Docs: none Path: /apps/collab/tests",Collaboration,Done,
SYNC-001 - Add IndexedDB persistence for local edits,"Priority: High Depends on: EDIT-002,COLLAB-003 Definition of done: Offline local edits persist in browser storage Docs: spec Path: /apps/web/src/editor",Sync,Done,
SYNC-002 - Add reconnect banner UX,Priority: Medium Depends on: WEB-014 Definition of done: Reconnect status is visible in the UI Docs: none Path: /apps/web,Sync,Done,
SYNC-003 - Add state-vector reconnect flow,"Priority: High Depends on: SYNC-001,COLLAB-009 Definition of done: Client and server merge state on reconnect Docs: spec Path: /apps/web,/apps/collab",Sync,Not started,
SYNC-004 - Add unsynced local recovery buffer,Priority: High Depends on: SYNC-003 Definition of done: Unsynced local edits are preserved for recovery Docs: spec Path: /apps/web/src/editor,Sync,Not started,
SYNC-005 - Add permission-changed-while-offline handling,"Priority: High Depends on: SYNC-004,SHARE-005 Definition of done: Offline edits are handled safely after permission downgrade Docs: spec Path: /apps/web,/apps/collab",Sync,Not started,
SYNC-006 - Add reconnect integration test,"Priority: Medium Depends on: TEST-004,SYNC-003 Definition of done: Reconnect scenario is covered by integration tests Docs: none Path: /apps/collab/tests",Sync,Not started,
VER-001 - Add revision creation policy service,"Priority: High Depends on: DB-006,ADR-008 Definition of done: Revision service creates checkpoints by policy Docs: spec + change note Path: /apps/api/src/modules/versions",Versioning,Done,
VER-002 - Add revision list endpoint,Priority: High Depends on: VER-001 Definition of done: Revision list endpoint returns revision metadata Docs: api doc Path: /apps/api/src/modules/versions,Versioning,Done,
VER-003 - Add revision detail endpoint,Priority: Medium Depends on: VER-002 Definition of done: Revision detail endpoint returns requested revision Docs: api doc Path: /apps/api/src/modules/versions,Versioning,Done,
VER-004 - Add diff endpoint stub,Priority: Medium Depends on: VER-002 Definition of done: Diff endpoint returns stub or initial comparison payload Docs: api doc Path: /apps/api/src/modules/versions,Versioning,Done,
VER-005 - Add rollback endpoint,Priority: High Depends on: VER-002 Definition of done: Rollback endpoint creates a new head revision Docs: api doc + change note Path: /apps/api/src/modules/versions,Versioning,Done,
VER-006 - Add rollback event to collab service,"Priority: High Depends on: VER-005,COLLAB-003 Definition of done: Rollback propagates to active clients Docs: spec Path: /apps/collab",Versioning,Done,
VER-007 - Add version history UI data hook,"Priority: Medium Depends on: WEB-010,VER-002 Definition of done: UI can fetch and display revision list data Docs: none Path: /apps/web",Versioning,Done,
VER-008 - Add versioning tests,"Priority: Medium Depends on: TEST-003,VER-005 Definition of done: Versioning tests cover revision and rollback flow Docs: none Path: /apps/api/tests/integration",Versioning,Done,
AI-001 - Add AI request model,Priority: High Depends on: DB-007 Definition of done: AI request model exists and migrates Docs: none Path: /apps/api/src/modules/ai,AI,Done,
AI-002 - Add AI request submission endpoint,"Priority: High Depends on: API-010,AI-001 Definition of done: AI request endpoint validates payload and persists request Docs: api doc + spec Path: /apps/api/src/modules/ai",AI,Done,
AI-003 - Add allowed action enum validation,Priority: Medium Depends on: AI-002 Definition of done: AI actions are strictly validated Docs: none Path: /apps/api/src/modules/ai,AI,Done,
AI-004 - Add context-scope validation,Priority: Medium Depends on: AI-002 Definition of done: Context scope values are validated Docs: none Path: /apps/api/src/modules/ai,AI,Done,
AI-005 - Add optional masking flag handling,Priority: Medium Depends on: AI-002 Definition of done: Masking option is stored and passed through correctly Docs: spec Path: /apps/api/src/modules/ai,AI,Done,
AI-006 - Add proposal result model,"Priority: High Depends on: AI-001 Definition of done: Proposal result model exists for worker and API use Docs: none Path: /apps/api/src/modules/ai,/packages/shared-types",AI,Done,
AI-007 - Add stale proposal detection helper,Priority: High Depends on: AI-006 Definition of done: Staleness helper compares revision and text hash correctly Docs: spec + change note Path: /apps/api/src/modules/ai,AI,Done,
AI-008 - Add proposal accept endpoint,Priority: Medium Depends on: AI-007 Definition of done: Accept endpoint applies AI proposal through normal change flow Docs: api doc Path: /apps/api/src/modules/ai,AI,Done,
AI-009 - Add proposal reject endpoint,Priority: Medium Depends on: AI-006 Definition of done: Reject endpoint updates request outcome cleanly Docs: api doc Path: /apps/api/src/modules/ai,AI,Done,
AI-010 - Add AI request status endpoint,Priority: Medium Depends on: AI-002 Definition of done: Status endpoint exposes lifecycle state Docs: api doc Path: /apps/api/src/modules/ai,AI,Done,
AI-011 - Add AI panel UI state model,"Priority: Medium Depends on: WEB-012,AI-010 Definition of done: AI UI can represent request and proposal states Docs: none Path: /apps/web",AI,Done,
AI-012 - Add mock provider client,"Priority: High Depends on: ADR-005,AI-002 Definition of done: Mock provider supports local testing without real provider calls Docs: none Path: /apps/worker,/apps/api",AI,Done,
AI-013 - Add AI integration tests with fixtures,"Priority: Medium Depends on: TEST-003,AI-012 Definition of done: AI integration tests run with mock provider and fixtures Docs: none Path: /apps/api/tests/integration",AI,Done,
WORK-001 - Initialize worker runtime,Priority: High Depends on: ADR-005 Definition of done: apps/worker boots with chosen runtime Docs: task doc + change note Path: /apps/worker,Worker,Done,
WORK-002 - Add queue connection config,Priority: High Depends on: WORK-001 Definition of done: Worker connects to configured queue backend Docs: none Path: /apps/worker,Worker,Done,
WORK-003 - Add AI job processor stub,"Priority: High Depends on: WORK-002,AI-002 Definition of done: AI job processor consumes requests and writes status updates Docs: none Path: /apps/worker/src/ai-jobs",Worker,Done,
WORK-004 - Add export job processor stub,"Priority: Medium Depends on: WORK-002,EXP-001 Definition of done: Export job processor stub exists Docs: none Path: /apps/worker/src/export-jobs",Worker,Done,
WORK-005 - Add revision summary job stub,"Priority: Medium Depends on: WORK-002,VER-001 Definition of done: Revision summary job stub exists Docs: none Path: /apps/worker/src/revision-jobs",Worker,Done,
WORK-006 - Add retry and backoff defaults,Priority: Medium Depends on: WORK-002 Definition of done: Retry and backoff defaults are centralized Docs: none Path: /apps/worker,Worker,Done,
WORK-007 - Add worker tests,"Priority: Medium Depends on: TEST-001,WORK-003 Definition of done: Worker tests run in CI Docs: none Path: /apps/worker/tests",Worker,Done,
EXP-001 - Add export job request endpoint,"Priority: High Depends on: API-011,DB-008 Definition of done: Export request endpoint creates export job records Docs: api doc Path: /apps/api/src/modules/exports",Export,Done,
EXP-002 - Add export job status endpoint,Priority: Medium Depends on: EXP-001 Definition of done: Export status endpoint exposes job state Docs: api doc Path: /apps/api/src/modules/exports,Export,Done,
EXP-003 - Add plain-text renderer,Priority: High Depends on: EXP-001 Definition of done: Plain-text export works end to end Docs: none Path: /apps/worker/src/export-jobs,Export,Done,
EXP-004 - Add PDF renderer stub,Priority: Medium Depends on: EXP-001 Definition of done: PDF export stub exists behind job interface Docs: none Path: /apps/worker/src/export-jobs,Export,Done,
EXP-005 - Add DOCX renderer stub,Priority: Medium Depends on: EXP-001 Definition of done: DOCX export stub exists behind job interface Docs: none Path: /apps/worker/src/export-jobs,Export,Done,
EXP-006 - Add secure download URL flow,"Priority: Medium Depends on: EXP-002 Definition of done: Completed exports return secure download references Docs: spec Path: /apps/api,/apps/worker",Export,Done,
EXP-007 - Add export UI integration,"Priority: Medium Depends on: WEB-013,EXP-002 Definition of done: UI can request export and show status Docs: none Path: /apps/web",Export,Done,
INFRA-001 - Add Docker Compose for Postgres and Redis,Priority: High Depends on: DB-001 Definition of done: Compose file starts required local services Docs: change note Path: /infrastructure/docker,Infrastructure,Done,
INFRA-002 - Add local object storage service to Compose,Priority: Medium Depends on: INFRA-001 Definition of done: Compose includes local object storage Docs: none Path: /infrastructure/docker,Infrastructure,Done,
INFRA-003 - Add API service container,Priority: Medium Depends on: API-001 Definition of done: Docker setup can run API service Docs: none Path: /infrastructure/docker,Infrastructure,Done,
INFRA-004 - Add collab service container,Priority: Medium Depends on: COLLAB-001 Definition of done: Docker setup can run collab service Docs: none Path: /infrastructure/docker,Infrastructure,Done,
INFRA-005 - Add worker service container,Priority: Medium Depends on: WORK-001 Definition of done: Docker setup can run worker service Docs: none Path: /infrastructure/docker,Infrastructure,Done,
INFRA-006 - Add startup helper scripts,Priority: Medium Depends on: INFRA-001 Definition of done: Helper scripts exist for common local startup flows Docs: none Path: /infrastructure/scripts,Infrastructure,Done,
INFRA-007 - Add local bootstrap README,Priority: Medium Depends on: INFRA-001 Definition of done: Infrastructure README explains local setup Docs: change note Path: /infrastructure,Infrastructure,Done,
TEST-001 - Decide and set up Vitest or Jest,"Priority: High Depends on: ADR-002,ADR-003 Definition of done: Chosen test framework is configured and runs Docs: task doc + change note Path: /",Testing,Done,
TEST-002 - Add shared test config,Priority: High Depends on: TEST-001 Definition of done: Shared test config is reused by apps and packages Docs: none Path: /,Testing,Done,
TEST-003 - Add API integration test harness,"Priority: High Depends on: TEST-001,API-001,DB-001 Definition of done: API integration tests can run against local test DB Docs: none Path: /apps/api/tests",Testing,Done,
